"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
60,2,NA,12,322,7,6,9,9,1,6,8,2,2,2,3,6,4,3,5,90
55,2,NA,12,322,8,4,9,8,2,4,6,1,2,1,4,7,7,3,5,60
57,1,NA,16,720,NA,1,10,9,1,5,7,3,1,5,4,7,7,2,5,180
52,1,6,23,720,9,3,7,6,2,4,5,2,2,3,2,5,7,2,5,420
49,1,6,12,322,3,8,7,7,3,4,6,3,1,1,2,3,1,2,1,NA
41,2,NA,16,520,NA,6,10,10,1,4,7,2,2,1,3,6,5,3,5,15
76,1,NA,14,423,8,8,7,9,2,6,2,1,2,3,3,6,6,2,5,60
41,1,NA,21,710,10,5,8,8,2,5,6,1,1,3,3,6,NA,3,5,300
85,2,5,12,322,2,0,7,8,3,6,4,1,2,2,3,7,7,2,1,NA
21,1,6,13,212,2,3,7,7,1,6,3,2,3,2,2,6,6,3,5,180
76,1,6,11,322,5,7,10,10,2,6,10,2,1,2,4,6,7,4,1,NA
88,2,5,8,212,2,9,5,5,3,5,6,1,2,1,4,3,1,3,1,NA
76,2,5,10,322,2,8,8,8,3,6,6,3,3,3,3,3,2,4,1,NA
33,1,NA,12,322,NA,6,9,9,1,6,7,2,1,3,1,5,5,4,5,240
66,2,5,19,800,9,1,8,8,2,6,7,2,1,3,3,6,7,4,5,90
84,1,4,11,322,3,6,8,8,4,5,6,2,1,2,4,4,4,3,1,NA
89,2,5,10,422,2,6,8,8,2,6,8,2,1,3,3,5,4,4,1,NA
33,2,6,16,610,4,1,5,7,1,6,4,2,2,3,1,7,7,3,5,120
28,2,6,10,212,NA,0,7,7,1,6,6,1,1,4,1,7,7,3,5,480
34,2,NA,NA,610,5,8,6,5,2,5,7,1,3,3,3,7,1,3,5,60
44,1,6,NA,610,7,6,9,9,2,4,8,4,3,4,2,6,6,2,5,240
51,1,NA,11,322,NA,7,8,7,1,5,6,2,3,3,3,5,NA,2,5,300
37,1,6,13,423,5,2,4,7,1,5,6,2,1,4,2,5,7,2,5,240
24,1,6,9,322,2,10,8,7,2,6,6,1,2,1,2,3,1,3,5,180
76,2,6,8,113,7,7,10,8,3,6,6,4,4,4,3,5,1,4,3,NA
69,1,NA,12,322,5,8,8,9,2,6,8,2,2,2,2,6,4,4,4,70
82,1,5,8,212,2,6,7,5,4,5,3,2,3,2,5,6,1,2,1,NA
64,2,NA,12,322,6,4,9,8,1,5,9,1,2,2,1,5,5,3,5,60
83,2,5,8,212,NA,8,7,7,3,3,3,1,2,1,3,4,1,3,1,NA
25,2,6,10,212,2,5,8,8,2,6,9,1,3,4,3,5,5,1,5,150
60,2,6,10,322,1,7,10,8,1,2,7,2,1,1,1,4,1,3,2,NA
74,2,5,4,113,2,0,5,5,3,5,0,2,1,2,3,5,3,4,4,60
31,2,6,12,322,5,3,6,6,2,4,8,2,1,3,1,6,7,2,5,60
44,1,NA,14,620,6,0,8,9,2,4,6,2,2,2,4,7,7,2,5,45
52,2,4,13,423,3,1,8,10,1,6,8,1,1,1,1,6,5,3,5,420
